"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Program Code","Primary Rep Info","EPA Region","NERC Region","County","County Code","FIPS Code","Source Category","Latitude","Longitude","Owner/Operator","SO2 Phase","NOx Phase","Unit Type","Primary Fuel Type","Secondary Fuel Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Commercial Operation Date","Operating Status","Max Hourly HI Rate (mmBtu/hr)","Associated Generators & Nameplate Capacity (MWe)"
"KY","E W Brown",1355,"3",,2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,"SERC","Mercer County","KY167","167","Electric Utility",37.7889,-84.7139,"LG&E and KU Energy, LLC (Owner)|LG&E and KU Energy, LLC (Operator)","Table 1","Phase 1 Group 1","Tangentially-fired","Coal",,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Catalytic Reduction","Wet Scrubber|Baghouse","Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection","1971-07-19","Operating",5000,"3 (446.4)"
"KY","Ghent",1356,"1",,2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,,"Carroll County","KY041","041","Electric Utility",38.7497,-85.035,"Kentucky Utilities Company (Owner)|Kentucky Utilities Company (Operator)","Table 1","Phase 1 Group 1","Tangentially-fired","Coal",,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Baghouse","Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection","1974-02-19","Operating",5500,"1 (556.9)"
"KY","Ghent",1356,"2","CS023",2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,,"Carroll County","KY041","041","Electric Utility",38.7497,-85.035,"Kentucky Utilities Company (Owner)|Kentucky Utilities Company (Operator)","Phase 2","Phase 2 Group 1","Tangentially-fired","Coal",,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Baghouse","Untreated PAC Sorbent Injection|Additives to Enhance PAC and Existing Equipment Performance","1977-04-20","Operating",5800,"2 (556.4)"
"KY","Ghent",1356,"3","CS023",2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,,"Carroll County","KY041","041","Electric Utility",38.7497,-85.035,"Kentucky Utilities Company (Owner)|Kentucky Utilities Company (Operator)","Phase 2","Phase 2 Group 1","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","Untreated PAC Sorbent Injection|Additives to Enhance PAC and Existing Equipment Performance","1981-05-31","Operating",5800,"3 (556.6)"
"KY","Ghent",1356,"4",,2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,,"Carroll County","KY041","041","Electric Utility",38.7497,-85.035,"Kentucky Utilities Company (Owner)|Kentucky Utilities Company (Operator)","Phase 2","Phase 2 Group 1","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection","1984-08-18","Operating",5500,"4 (556.2)"
"KY","Mill Creek",1364,"2",,2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,"ECAR","Jefferson County","KY111","111","Electric Utility",38.0531,-85.91,"LG&E and KU Energy, LLC (Owner)|LG&E and KU Energy, LLC (Operator)","Phase 2","Early Election","Tangentially-fired","Coal",,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection","1974-06-11","Operating",3700,"2 (355.5)"
"KY","Mill Creek",1364,"3",,2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,"ECAR","Jefferson County","KY111","111","Electric Utility",38.0531,-85.91,"LG&E and KU Energy, LLC (Owner)|LG&E and KU Energy, LLC (Operator)","Phase 2","Early Election","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection","1978-06-28","Operating",4400,"3 (462.6)"
"KY","Mill Creek",1364,"4",,2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","604155",4,"ECAR","Jefferson County","KY111","111","Electric Utility",38.0531,-85.91,"LG&E and KU Energy, LLC (Owner)|LG&E and KU Energy, LLC (Operator)","Phase 2","Early Election","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator|Wet Scrubber","Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection","1982-07-15","Operating",5500,"4 (543.6)"
"KY","Shawnee",1379,"1","CSSH15",2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","608515",4,"SERC","McCracken County","KY145","145","Electric Utility",37.1517,-88.775,"Tennessee Valley Authority (Owner)|Tennessee Valley Authority (Operator)","Phase 2","Phase 2 Group 1","Dry bottom wall-fired boiler","Coal",,"Dry Lime FGD","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse",,"1953-04-06","Operating",2145,"1 (175)"
"KY","Shawnee",1379,"2","CSSH15",2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","608515",4,"SERC","McCracken County","KY145","145","Electric Utility",37.1517,-88.775,"Tennessee Valley Authority (Owner)|Tennessee Valley Authority (Operator)","Phase 2","Phase 2 Group 1","Dry bottom wall-fired boiler","Coal",,,"Low NOx Burner Technology (Dry Bottom only)","Baghouse",,"1953-06-18","Operating",2316,"2 (175)"
"KY","Shawnee",1379,"3","CSSH15",2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","608515",4,"SERC","McCracken County","KY145","145","Electric Utility",37.1517,-88.775,"Tennessee Valley Authority (Owner)|Tennessee Valley Authority (Operator)","Phase 2","Phase 2 Group 1","Dry bottom wall-fired boiler","Coal",,,"Low NOx Burner Technology (Dry Bottom only)","Baghouse",,"1953-09-29","Operating",2296,"3 (175)"
"KY","Shawnee",1379,"4","CSSH15",2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","608515",4,"SERC","McCracken County","KY145","145","Electric Utility",37.1517,-88.775,"Tennessee Valley Authority (Owner)|Tennessee Valley Authority (Operator)","Phase 2","Phase 2 Group 1","Dry bottom wall-fired boiler","Coal",,"Dry Lime FGD","Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction","Baghouse",,"1954-01-02","Operating",2112,"4 (175)"
"KY","Shawnee",1379,"5","CSSH15",2025,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS","608515",4,"SERC","McCracken County","KY145","145","Electric Utility",37.1517,-88.775,"Tennessee Valley Authority (Owner)|Tennessee Valley Authority (Operator)","Phase 2","Phase 2 Group 1","Dry bottom wall-fired boiler","Coal",,,"Low NOx Burner Technology (Dry Bottom only)","Baghouse",,"1954-09-20","Operating",2284,"5 (175)"
